X,id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est,
,4,YEM-2010-1-784-46,2010,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"BBC Monitoring Middle East, 2010-10-01, Yemen tightens security measures after Al-Qa'idah attacks///Agence France Presse, 2010-10-09, Qaeda claims Yemen bus ambush, says killed 14",,,,Ministry of Interior,1,Şan‘ā’ city,Şan‘ā’ city (60 m road near Al-Eman University),Amānat al ‘Āşimah governorate,,15.354722,44.206667,POINT (44.206667 15.354722),151649,Yemen (North Yemen),678,Middle East,1,1,09/25/2010 00:00:00,09/25/2010 00:00:00,2,0,0,0,2,2,2,
,6,YEM-2011-1-784-30,2011,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Reuters News, 2011-04-16, UPDATE 3-Yemen opposition to meet Gulf ministers over crisis",,,,A local official,4,Abyan governorate,Abyan governorate,Abyan governorate,,13.786202,46.141765,POINT (46.141765 13.786202),149493,Yemen (North Yemen),678,Middle East,1,1,04/16/2011 00:00:00,04/16/2011 00:00:00,0,0,0,0,0,1,0,
,7,YEM-2012-1-784-161,2012,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France Presse, 2012-06-04, Suicide car bomber kills four in south Yemen",,,,A member of the Popular Resistance Committees,4,Abyan governorate,Abyan governorate (A checkpoint between Loder and Shaqra),Abyan governorate,,13.786202,46.141765,POINT (46.141765 13.786202),149493,Yemen (North Yemen),678,Middle East,1,1,06/04/2012 00:00:00,06/04/2012 00:00:00,4,1,0,0,5,5,5,
,10,YEM-2012-1-784-254,2012,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Associated Press Newswires, 2012-12-09, Yemen tribal officials say airstrikes, artillery shelling kill 4 al-Qaida militants in Marib /Reuters News, 2012-12-11, Masked gunmen kill intelligence officer in south Yemen",,,,Yemen tribal officials,1,‘Abīdah valley,‘Abīdah valley,Ma'rib governorate,Ma’rib district,15.616667,45.300000,POINT (45.300000 15.616667),152371,Yemen (North Yemen),678,Middle East,1,1,12/09/2012 00:00:00,12/09/2012 00:00:00,0,4,1,0,5,5,5,
,13,YEM-2011-1-784-29,2011,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Reuters News, 2011-04-11, Yemen says troops kill 11 al Qaeda militants, BBC Monitoring Middle East, 2011-04-12,  Yemeni agency reports clashes between army, Al-Qa'idah in Abyan, Agence France Presse, 2011-04-16, Yemeni officer hurt in suspected Qaeda attack: reports",,,,Yemeni Defence Ministry,4,Abyan governorate,Abyan governorate,Abyan governorate,,13.786202,46.141765,POINT (46.141765 13.786202),149493,Yemen (North Yemen),678,Middle East,1,1,04/11/2011 00:00:00,04/11/2011 00:00:00,0,0,0,0,0,13,0,
,19,YEM-2010-1-784-19,2010,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Reuters, 2010-06-13, Yemen security official and 2 soldiers killed in south",,,,Officials and witnesses,4,Abyan governorate,Abyan governorate,Abyan governorate,,13.786202,46.141765,POINT (46.141765 13.786202),149493,Yemen (North Yemen),678,Middle East,1,1,06/12/2010 00:00:00,06/12/2010 00:00:00,1,0,0,0,1,1,1,
,20,YEM-2011-1-784-130,2011,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France Presse, 2011-09-07, Suspected Al-Qaeda militants kill six Yemen troops",,,,A military source and a medical official,4,Abyan governorate,Abyan governorate,Abyan governorate,,13.786202,46.141765,POINT (46.141765 13.786202),149493,Yemen (North Yemen),678,Middle East,1,1,09/07/2011 00:00:00,09/07/2011 00:00:00,8,14,1,0,23,23,23,
,21,YEM-2010-1-784-30,2010,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Reuters News, 2010-08-21, Yemen forces kill 5 al Qaeda fighters after clashes///BBC Monitoring Middle East, 2010-08-22, Ambush targeting Yemeni forces kills seven Al-Qa'idah elements",,,,Defence Ministry,4,Abyan governorate,Abyan governorate,Abyan governorate,,13.786202,46.141765,POINT (46.141765 13.786202),149493,Yemen (North Yemen),678,Middle East,1,1,08/21/2010 00:00:00,08/21/2010 00:00:00,0,7,0,0,7,7,7,
,22,YEM-2010-1-784-23,2010,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France Presse, 2010-07-22,  Five Yemeni soldiers killed in Qaeda-style ambush: official/// Reuters News, 2010-08-07, UPDATE 1-Al Qaeda claims attacks in Yemen oil province -Web",,,,A security official,1,‘Ataq town,‘Ataq town,Shabwah governorate,‘Ataq district,14.537665,46.831868,POINT (46.831868 14.537665),150934,Yemen (North Yemen),678,Middle East,1,1,07/22/2010 00:00:00,07/22/2010 00:00:00,5,0,0,0,5,5,5,
,23,YEM-2011-1-784-53,2011,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France Presse, 2011-06-05,  Qaeda ambushes kill 9 soldiers in Yemen: military",,,,A military official,4,Abyan governorate,Abyan governorate,Abyan governorate,,13.786202,46.141765,POINT (46.141765 13.786202),149493,Yemen (North Yemen),678,Middle East,1,1,06/04/2011 00:00:00,06/04/2011 00:00:00,6,0,0,0,6,6,6,
