"","revmodcode","revmodid","organization","transname","popname","year","outcome.goal","leader","ld","killed","arrested","executed","numdecaptries","leadersources","achieve.2018.scoring","partialsuccess.10.plus","completesuccess","orderedsuccess","separate","empire","overthrowtakeover","counterrev","reform","eliminateexpel","antisystem","polcommand","polorg.10.plus","age","duration","as","ks","sa","sas","terrorism","civilwar","size","violent","nv","mixed","demonl","demonc","turnedviolent","anyviolence","ungdp","wbgdp","polity","dem","state","area.of.operation","adversary","sponsorfights","ties","orgties","tiefights","fightingties","identrep","exclgvt","delta","perchange","delta.l2","perchange.l2","delta.l5","perchange.l5","percat","sizeclass"
"1","152EV",152,"Islamic Jihad of Yemen",NA,"Islamic Jihad Yemen",1991,"establish Islamist state in Yemen","Zein al-Abideen al-Mehdar; [committee]",0,0,0,0,0,NA,4,0,0,0,0,0,1,0,0,0,1,2,0,1,1,NA,NA,0,0,0,0,50,1,0,0,0,0,0,0,337,472,7,0,1,"Yemen","Yemen; U.S.; Houthis",0,1,"al-Qaeda",0,NA,"Islamist Yemenis",1,NA,NA,NA,NA,NA,NA,NA,"Small"
"2","152EV",152,"Islamic Jihad of Yemen",NA,"Islamic Jihad Yemen",1992,"establish Islamist state in Yemen","Zein al-Abideen al-Mehdar; [committee]",0,0,0,0,0,NA,5,0,0,0,0,0,1,0,0,0,1,2,0,2,2,1,0,0,0,0,0,50,1,0,0,0,0,0,0,344,488,7,0,1,"Yemen","Yemen; U.S.; Houthis",0,1,"al-Qaeda",0,NA,"Islamist Yemenis",1,0,0,NA,NA,NA,NA,"no.change","Small"
"3","152EV",152,"Islamic Jihad of Yemen",NA,"Islamic Jihad Yemen",1993,"establish Islamist state in Yemen","Zein al-Abideen al-Mehdar; [committee]",0,0,0,0,0,NA,5,0,0,0,0,0,1,0,0,0,1,2,0,3,3,1,0,0,0,0,0,50,1,0,0,0,0,0,0,348,385,8,0,1,"Yemen","Yemen; U.S.; Houthis",0,1,"al-Qaeda",0,NA,"Islamist Yemenis",1,0,0,0,0,NA,NA,"no.change","Small"
"4","152EV",152,"Islamic Jihad of Yemen/Army of Aden Abyan",NA,"Army of Aden",1994,"establish Islamist state in Yemen","Zein al-Abideen al-Mehdar",0,0,0,0,0,NA,4,0,0,0,0,0,1,0,0,0,1,2,0,4,4,NA,NA,0,0,0,0,50,1,0,0,0,0,0,0,346,285,8,0,1,"Yemen","Yemen; U.S.; Houthis",0,1,"al-Qaeda",0,NA,"Islamist Yemenis",1,0,0,0,0,NA,NA,"no.change","Small"
"5","152EV",152,"Army of Aden Abyan",NA,"Army of Aden",1995,"establish Islamist state in Yemen","Zein al-Abideen al-Mehdar",0,0,0,0,0,NA,4,0,0,0,0,0,1,0,0,0,1,2,0,5,5,NA,NA,0,0,0,0,50,1,0,0,0,0,0,0,395,279,8,0,1,"Yemen","Yemen; U.S.; Houthis",0,1,"al-Qaeda",0,NA,"Islamist Yemenis",1,0,0,0,0,NA,NA,"no.change","Small"
"6","152EV",152,"Army of Aden Abyan",NA,"Army of Aden",1996,"establish Islamist state in Yemen","Zein al-Abideen al-Mehdar",0,0,0,0,0,NA,4,0,0,0,0,0,1,0,0,0,1,2,0,6,6,NA,NA,0,0,0,0,100,1,0,0,0,0,0,0,468,365,8,0,1,"Yemen","Yemen; U.S.; Houthis",0,1,"al-Qaeda",0,NA,"Islamist Yemenis",1,50,100,50,100,50,100,"positive","Small"
"7","152EV",152,"Army of Aden Abyan",NA,"Army of Aden",1997,"establish Islamist state in Yemen","Zein al-Abideen al-Mehdar",0,0,0,0,0,NA,5,0,0,0,0,0,1,0,0,0,1,2,0,7,7,1,0,0,0,0,0,100,1,0,0,0,0,0,0,485,418,8,0,1,"Yemen","Yemen; U.S.; Houthis",0,1,"al-Qaeda",0,NA,"Islamist Yemenis",1,0,0,50,100,50,100,"no.change","Small"
"8","152EV",152,"Army of Aden Abyan/al-Qaeda fi al-Yemen","al-Qaeda in Yemen","Army of Aden",1998,"establish Islamist state in Yemen","Zein al-Abideen al-Mehdar",0,0,0,0,0,NA,5,0,0,0,0,0,1,0,0,0,1,2,0,8,8,1,3,0,0,1,0,100,1,0,0,0,0,0,0,438,376,8,0,1,"Yemen","Yemen; U.S.; Houthis",0,1,"al-Qaeda",0,NA,"Islamist Yemenis",1,0,0,0,0,50,100,"no.change","Small"
"9","152EV",152,"al-Qaeda fi al-Yemen","al-Qaeda in Yemen","AQ-Yemen",1999,"establish Islamist state in Yemen","Zein al-Abideen al-Mehdar",1,NA,NA,NA,0,NA,5,0,0,0,0,0,1,0,0,0,1,2,0,9,9,1,2,0,0,0,0,100,1,0,0,0,0,0,0,510,442,8,0,1,"Yemen","Yemen; U.S.; Houthis",0,1,"al-Qaeda",0,NA,"Islamist Yemenis",1,0,0,0,0,50,100,"no.change","Small"
"10","152EV",152,"al-Qaeda fi al-Yemen","al-Qaeda in Yemen","AQ-Yemen",2000,"establish Islamist state in Yemen","Nasser al-Wuhayshi",0,0,0,0,0,NA,5,0,0,0,0,0,1,0,0,0,1,2,0,10,10,1,17,0,0,0,0,100,1,0,0,0,0,0,0,36138,36450,20,1,1,"Yemen","U.S.; Yemen; Houthis",0,1,"al-Qaeda",0,NA,"Islamist Yemenis",1,0,0,0,0,50,100,"no.change","Small"
"11","152EV",152,"al-Qaeda fi al-Yemen","al-Qaeda in Yemen","AQ-Yemen",2001,"establish Islamist state in Yemen","Nasser al-Wuhayshi",0,0,0,0,0,NA,4,0,0,0,0,0,1,0,0,0,1,2,0,11,11,NA,NA,0,0,0,0,100,1,0,0,0,0,0,0,623,538,8,0,1,"Yemen","Yemen; U.S.; Houthis",0,1,"al-Qaeda",0,NA,"Islamist Yemenis",1,0,0,0,0,0,0,"no.change","Small"
"12","152EV",152,"al-Qaeda fi al-Yemen","al-Qaeda in Yemen","AQ-Yemen",2002,"establish Islamist state in Yemen","Nasser al-Wuhayshi",0,0,0,0,0,NA,6,0,0,0,0,0,1,0,0,0,1,0,0,12,12,3,1,0,0,0,0,80,1,0,0,0,0,0,0,37818,38166,20,1,1,"Yemen","U.S.; Yemen; Houthis",0,1,"al-Qaeda",0,NA,"Islamist Yemenis",1,-20,-20,-20,-20,-20,-20,"negative","Small"
"13","152EV",152,"al-Qaeda fi al-Yemen","al-Qaeda in Yemen","AQ-Yemen",2003,"establish Islamist state in Yemen","Nasser al-Wuhayshi",0,0,0,0,0,NA,5,0,0,0,0,0,1,0,0,0,1,0,0,13,13,1,0,0,0,0,0,50,1,0,0,0,0,0,0,710,608,8,0,1,"Yemen","Yemen; U.S.; Houthis",0,2,"AQA; al-Qaeda",0,NA,"Islamist Yemenis",1,-30,-37.5,-50,-50,-50,-50,"negative","Small"
"14","224HP",224,"al-Qaeda in Arabia",NA,"al-Qaeda in Arabia",2003,"reestablish the Islamic Caliphate","Yusuf al-'Ayyiri (aka Sheik Al-Battar); Saud al-Otaibi",1,1,0,0,0,NA,2,0,0,0,0,0,1,0,0,0,1,2,0,0,0,NA,NA,0,0,0,0,100,1,0,0,0,0,0,0,9390,9186,0,0,1,"Saudi Arabia","Saudi Arabia; Westerners",0,2,"al-Qaeda; IJY",0,NA,"Mujahedin",NA,NA,NA,NA,NA,NA,NA,NA,"Small"
